id,client,raw_T1,raw_T2,offer,niche/sub-niche,sophistication,lever,pattern,what_carries,mechanism_line,pattern_interrupt,cta,char_T1,char_T2,why_it_worked
W11,Pirawna,"Hi [Name], it's Nate over at Pirawna. We helped Cymbiotika grow Amazon revenue from $200k to $1.5m/year in 7 months - using targeted ads to redirect competitors' traffic straight to their products",I had a few ideas in mind for [company] - can we chat sometime tomorrow? (Happy to share our full Amazon strategy.),Amazon ads,DTC ecom / supplements & health-wellness,high,Curious / Unique,Plain-English,case study,redirect competitors' traffic to their products,skipped — leans on result + mechanism,can we chat sometime tomorrow? (Happy to share our full Amazon strategy.),190,114,Case study carries it; the mechanism is really just plain English. The relevance + curiosity of the Cymbiotika result is what lands — nothing fancy.
W12,DMA,"Hey [Name], Brianna over at DMA - not sure if you're looking for more patients right now, but wanted to see if we could partner up? I'm looking for 1-2 vet clinics in [City] to pilot our 30-day program - where we guarantee 10 new patient appointments or you don't pay",Same system that brought Kendall Animal Clinic $591K in under 10 months - lmk if I could give you a ring this week?,Paid ads / full-service lead-gen,Local businesses / vet,low,FOMO / Curiosity,Risk-reversal (guarantee),guarantee,omitted ('same system'),"not sure if you're looking for more patients right now, but",lmk if I could give you a ring this week?,268,112,The guarantee is what works — '10 new appointments or you don't pay' removes all risk for a low-sophistication local buyer. Backed by a clean case study. Great template.
W13,Scaletopia,"Hi name, been looking at {company name} and had an idea. We helped Chamber Media close 14 retainers in 5 months with AI-timed outreach - think it'd work for you guys too.",like I'd go after {mid-market companies that recently hired a CMO with no agency of record} - could I show u how?,Outbound / lead-gen,Agencies / B2B,high,Timely,High-level abstraction + Trigger,relevance (ICP-signal specificity) + case study,AI-timed outreach (real driver is the ICP-signal specificity),been looking at {company} and had an idea (soft),could I show u how?,168,113,"Carried by the ICP-signal specificity, not the named method — the AI-generated, Clay-driven '{companies that recently hired a CMO with no agency of record}' demonstrates we know exactly who to target. Case study (Chamber, 14 retainers) proves it; soft 'could I show u how' disarms. A plain high-level abstraction alone wouldn't have worked — the trigger specificity is what made it land."
W14,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab - a bit random, but I recently helped Frisella Neilson in San Diego bring in an extra $763k in contested probate billables from google all within a year - mostly by ranking them #1 for 'San Diego Trusts Lawyer'","I could get {{companyName}} more {{caseType company does}} cases the same way. but we only work with 3 firms per city, lmk if it's worth exploring sometime next week?",Local SEO,Law firms / estate planning law,mid,FOMO / Curiosity,Plain-English,case study + relevance/specificity,ranking them #1 for 'San Diego Trusts Lawyer',"a bit random, but",lmk if it's worth exploring sometime next week?,250,162,"Case study carries it, in their language — 'contested probate billables' speaks the estate-law world precisely. T2 relevance ('more [caseType] cases the same way') ties it to them, and 'only 3 firms per city' adds FOMO/scarcity."
W15,Scaletopia,"Hi Torrey, it's Mel from Scaletopia, you don't know me but I think I cracked the code to cold outreach for ecom brands.","Helped Chamber media book 84 proposal calls in 5 months — including AG1, Volcom, Feastables etc. Looking for another agency to trial this with - could I drop you an email?",Outbound / lead-gen,Marketing agencies / e-com marketing agencies,high,FOMO / Curiosity,n/a (no mechanism),case study (logos) + curiosity hook,n/a,you don't know me but I think I cracked the code to…,could I drop you an email? (⚠ avoid going forward — prefer 'could I show you how'),117,168,"'Cracked the code to cold outreach for ecom brands' opens curiosity/FOMO; the logo names (AG1, Volcom, Feastables) are the real proof, plus a scarcity trial ask. CTA 'drop you an email' worked here but avoid going forward — prefer 'could I show you how'."
W16,WISE Digital Partners,"Hi {{first_name}}, sorry to text out of the blue but we took Dark Horse CPAs from $1.5m to $21m in 5 years by replacing referrals with organic search (did this for Capstone Accounting too)","Saw {{company_name}} and had some ideas. Mind if I give you a ring this week? - Matt, WISE Digital",SEO / organic search,Accounting / bookkeeping / CPA firms,mid,Curious / Helpful,Plain-English,case study + authority (known name),replacing referrals with organic search,sorry to text out of the blue but,Mind if I give you a ring this week?,188,98,"Authority carries it - accounting runs on referrals, and Dark Horse CPAs is a name the whole niche knows and looks up to, so 'we were the marketing partners behind their growth' lends instant credibility. Copy is decent, not the sharpest, but the known-name case study (proof-stacked with Capstone) does the heavy lifting. [strategist-added; analysis inferred - redline]"
W17,WISE Digital Partners,"Hi {{first_name}}, I know this is out of the blue but we took Dark Horse CPAs from $1.5M to $21M in 5 yrs by replacing referrals with organic search (did this for Capstone Accounting too)","Thought I'd reach out now tax season's over - when referrals dry up it's tough to stay selective with clients. Mind if I give you a ring? - Matt, Wise Digital",SEO / organic search,Accounting / bookkeeping / CPA firms,mid,Curious / Helpful / Timely,Plain-English + Timely,case study + authority + timing,replacing referrals with organic search,I know this is out of the blue but,Mind if I give you a ring?,187,158,"Same known-name authority as W16, but timed right after tax season - 'now referrals dry up it's tough to stay selective' speaks to the exact post-April-15 moment CPAs feel. Slow at first, then booked 3 meetings last week once the timing landed. Timing + known-name case study. [strategist-added; analysis inferred - redline]"
W18,Go Fish Digital,"Hey Ross, it's Bri at Go Fish - a bit random but noticed Hovi Dry Goods isn't really running TikTok Shop lives, we actually tried it for Willow Boutique, who sold $126k last month just from interactive livestreams with relevant creators.",not asking for your business but could I at least share a few ideas on how Hovi Dry Goods could take advantage of this?,TikTok Shop live selling (organic + affiliate creators),DTC ecom / fashion & apparel,mid,Helpful / Curious,Trigger (observed gap) + Plain-English,relevance (observed gap) - case study + mechanism are simple support,interactive TikTok Shop livestreams with relevant creators,noticed they aren't running TikTok Shop lives (manual-looking observation) + T2 'not asking for your business',not asking for your business but could I at least share a few ideas on how {{company}} could take advantage of this?,237,119,"Relevance carried it. T1 opens on a manual-looking observation - that they're NOT running TikTok Shop lives when most in the space are - so it reads hand-written, not blasted (barely any Clay/AI used). Phrasing is natural and human. Backed by a clean, decent case study (Willow Boutique, $126k last month) and a simple mechanism ('livestreams with relevant creators') - easy to grasp, curious enough to earn a call, nothing over-technical. T2 CTA is the closer: 'not asking for your business' drops the guard and pivots to a low-commitment call. Same offer as the L1 Go Fish loser, but led with relevance instead of a case-study brag - which is exactly why it landed."
W19,Kynship,"Hey {{first_name}}, bit random but we took Black Girl Vitamins from $8m to $85m in under 4 years, mostly on creator content that doesn't even feel like an ad","hardly seen anyone in the {{subniche}} space do this properly, could I show u how {{company}} can take advantage of this? - Grace, Kynship",Creator content / UGC ads (Meta),DTC ecom / health & wellness,high,Unique / Curious,Contrarian,mechanism + case study,creator content that doesn't even feel like an ad,bit random but (+ T2 'hardly seen anyone in {{subniche}} do this properly' - FOMO/curiosity),could I show u how {{company}} can take advantage of this?,157,138,"Unique-mechanism play in the Chamber Media mold - 'creator content that doesn't even feel like an ad' is the curiosity/contrarian beat, and the clean $8m->$85m in under 4 years transformation carries the proof. The relevant CTA seals it: 'hardly seen anyone in the {{subniche}} space do this properly' is FOMO + super-specific to their sub-niche, tied straight to {{company}}. A bit of Clay ({{subniche}}), but the mechanism + case study do the work. [analysis inferred from Aaman's note - redline]"
W34,Chamber Media,"Hi Name, it's Claire over at Chamber Media - this might sound random, but I helped Transparent Labs go from $2m to $26m/yr in under 2 years - mainly by using a mix of humor and education in their ads to make them actually entertaining.","Nobody in the {SUBNICHE} is doing this rn which is why I think {company} could take advantage, lmk if it's worth exploring sometime next week?",Meta/paid-ads creative (DTC video),DTC ecom / supplements & health-wellness,high,,,,,,,,,[LEFT FOR NOW per Aaman - strategist's analysis pending; ID 'W34' to be renumbered]
