id,Client,raw_T1,raw_T2,Campaign name,offer,niche/sub-niche,sophistication,lever,pattern,what_carries,mechanism_line,pattern_interrupt,cta,char_T1,char_T2,why_it_worked,,,,,
W11,Pirawna / Cymbiotika,"Hi [Name], it's Nate over at Pirawna. We helped Cymbiotika grow Amazon revenue from $200k to $1.5m/year in 7 months - using targeted ads to redirect competitors' traffic straight to their products",I had a few ideas in mind for [company] - can we chat sometime tomorrow? (Happy to share our full Amazon strategy.),,Amazon ads,DTC ecom / supplements & health-wellness,high,Curious / Unique,Plain-English,case study,redirect competitors' traffic to their products,skipped — leans on result + mechanism,can we chat sometime tomorrow? (Happy to share our full Amazon strategy.),190,114,Case study carries it; the mechanism is really just plain English. The relevance + curiosity of the Cymbiotika result is what lands — nothing fancy.,,,,,
W12,DMA / Kendall Animal Clinic,"Hey [Name], Brianna over at DMA - not sure if you're looking for more patients right now, but wanted to see if we could partner up? I'm looking for 1-2 vet clinics in [City] to pilot our 30-day program - where we guarantee 10 new patient appointments or you don't pay",Same system that brought Kendall Animal Clinic $591K in under 10 months - lmk if I could give you a ring this week?,,Paid ads / full-service lead-gen,Local businesses / vet,low,FOMO / Curiosity,Risk-reversal (guarantee),guarantee,omitted ('same system'),"not sure if you're looking for more patients right now, but",lmk if I could give you a ring this week?,268,112,The guarantee is what works — '10 new appointments or you don't pay' removes all risk for a low-sophistication local buyer. Backed by a clean case study. Great template.,,,,,
W13,Scaletopia / AthleanX,"Hi name, been looking at {company name} and had an idea. We helped Chamber Media close 14 retainers in 5 months with AI-timed outreach - think it'd work for you guys too.",like I'd go after {mid-market companies that recently hired a CMO with no agency of record} - could I show u how?,,Outbound / lead-gen,Agencies / B2B,high,Timely,High-level abstraction + Trigger,relevance (ICP-signal specificity) + case study,AI-timed outreach (real driver is the ICP-signal specificity),been looking at {company} and had an idea (soft),could I show u how?,168,113,"Carried by the ICP-signal specificity, not the named method — the AI-generated, Clay-driven '{companies that recently hired a CMO with no agency of record}' demonstrates we know exactly who to target. Case study (Chamber, 14 retainers) proves it; soft 'could I show u how' disarms. A plain high-level abstraction alone wouldn't have worked — the trigger specificity is what made it land.",,,,,
W14,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab - a bit random, but I recently helped Frisella Neilson in San Diego bring in an extra $763k in contested probate billables from google all within a year - mostly by ranking them #1 for 'San Diego Trusts Lawyer'","I could get {{companyName}} more {{caseType company does}} cases the same way. but we only work with 3 firms per city, lmk if it's worth exploring sometime next week?",,Local SEO,Law firms / estate planning law,mid,FOMO / Curiosity,Plain-English,case study + relevance/specificity,ranking them #1 for 'San Diego Trusts Lawyer',"a bit random, but",lmk if it's worth exploring sometime next week?,250,162,"Case study carries it, in their language — 'contested probate billables' speaks the estate-law world precisely. T2 relevance ('more [caseType] cases the same way') ties it to them, and 'only 3 firms per city' adds FOMO/scarcity.",,,,,
W15,Scaletopia,"Hi Torrey, it's Mel from Scaletopia, you don't know me but I think I cracked the code to cold outreach for ecom brands.","Helped Chamber media book 84 proposal calls in 5 months, including AG1, Volcom, Feastables etc.

Looking for another Archive to trial this with - could I drop you an email?",,Volcom,Feastables etc. Looking for another agency to trial this with - could I drop you an email?,Outbound / lead-gen,Marketing agencies / e-com marketing agencies,high,,n/a (no mechanism),case study (logos) + curiosity hook,n/a,you don't know me but I think I cracked the code to…,could I drop you an email? (⚠ avoid going forward — prefer 'could I show you how'),117,168,"Cracked the code to cold outreach for ecom brands' opens curiosity/FOMO; the logo names (AG1, Volcom, Feastables) are the real proof, plus a scarcity trial ask. CTA 'drop you an email' worked here but avoid going forward — prefer 'could I show you how'.",,,
W16,WISE Digital Partners,"Hi {{first_name}}, sorry to text out of the blue but we took Dark Horse CPAs from $1.5m to $21m in 5 years by replacing referrals with organic search (did this for Capstone Accounting too)","Saw {{company_name}} and had some ideas. Mind if I give you a ring this week? - Matt, WISE Digital",Accounting/CPA,Organic search,"accounting, bookkeeping, CPA firms",mid,,,,,,,,,"Main reason I think was the industry was largely reliant on referrals, and Dark Horse CPA was a very well-known company that they looked up to. Everyone had heard of Dark Horse, so the fact that Wise Digital was the marketing partners behind their growth added a lot of credibility",,,,,
W17,WISE Digital Partners,"Hi {{first_name}}, I know this is out of the blue but we took Dark Horse CPAs from $1.5M to $21M in 5 yrs by replacing referrals with organic search (did this for Capstone Accounting too)","Thought I'd reach out now tax season's over - when referrals dry up it's tough to stay selective with clients. Mind if I give you a ring? - Matt, Wise Digital",Accounting/CPA,Organic search,"accounting, bookkeeping, CPA firms",mid,,,,,,,,,"This one is a bit similar, so using the same Darcore CPA case study, but this time the copy was sent after the tax break, which was up until the 15th of April. Even after they came back from holidays after that, it was not working at first, but last week we got three meetings booked off of this text",,,,,
W34,Chamber Media,"Hi Name, it's Claire over at Chamber Media - this might sound random, but I helped Transparent Labs go from $2m to $26m/yr in under 2 years - mainly by using a mix of humor and education in their ads to make them actually entertaining.","Nobody in the {SUBNICHE} is doing this rn which is why I think {company} could take advantage, lmk if it's worth exploring sometime next week?",Chamber Media - CPG Food & Bev | 3-200E | NA | Khizar's campaign (unversioned),Meta / paid-ads creative (DTC video),DTC ecom / CPG food & beverage,high,Unique / FOMO,Contrarian,mechanism + case study,using a mix of humor and education in their ads to make them actually entertaining,"this might sound random, but",lmk if it's worth exploring sometime next week?,235,142,"The direct descendant of W1 - same Transparent Labs case study and same humor mechanism, rewritten from Courtney to Claire, with the T2 scarcity made explicit ('Nobody in the {SUBNICHE} is doing this rn'). Still the highest-volume Chamber winner at 3,385 sends and holds a 50% High share. Worth reading against W39, which swaps the emptiness framing for a selection framing ('after looking at 3-4 brands, you stood out') and gets 77% High at a better ratio - evidence that 'we chose you' outperforms 'nobody is doing this' on the same underlying pitch.",3385,338,5,5,50%
W35,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab, bit random but we got Galo Law $890k in signed cases in under a year with clients telling them on intake calls 'I found you on ChatGPT, Claude and Perplexity'","nobody in {{city}} is showing up in AI like this yet, i think {{company}} could take advantage, lmk if it's worth exploring sometime this week?",Growth Lab - Personal Injury | 3-200E | United States | V7,AI search visibility (AEO) + local SEO,Law firms / personal injury,low-mid,Unique / Timely,Contrarian,mechanism proved by customer quote + case study,"clients telling them on intake calls 'I found you on ChatGPT, Claude and Perplexity'",bit random but,lmk if it's worth exploring sometime this week?,205,143,"Best ratio in the 30-day set. The mechanism is PROVED rather than asserted - a customer quote does the work, not a claim. AI search visibility is genuinely novel to PI firms, so sophistication on this channel is near zero and curiosity is free. T2 converts that novelty into local first-mover scarcity ('nobody in {{city}} yet'). Closest relative in the sheet is W1's contrarian-mechanism shape, but with third-party proof instead of self-description.",704,78,5,4,56%
W36,Growth Lab,"Hi {{firstName}}, Rachel here from Growth Lab - bit random, but I just got LV Criminal Defense 29 signed cases (worth $192k) in just 2 months - by ranking them at the top of search for the queries people run right after an arrest","I could get {{company}} more dui intakes the same way. but we only work with 3 firms per city, let me know if it's worth exploring?",Growth Lab - Criminal Defense | 3-200E | United States | V2 vs V3 (V2 arm),Local SEO,Law firms / criminal defense (DUI),mid,FOMO / Curiosity,Plain-English + Trigger,case study + moment-of-demand specificity,ranking them at the top of search for the queries people run right after an arrest,"bit random, but",let me know if it's worth exploring?,229,131,"Direct sibling of W14 - same 'only 3 firms per city' scarcity T2, different vertical. The mechanism names the buyer's exact moment of demand ('the queries people run right after an arrest'), which is the criminal-defense intake reality in one line. Case study carries both a count and a dollar value in a short window (29 cases / $192k / 2 months). Beat its own V3 arm, which produced zero High intent.",631,126,2,3,40%
W37,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab, bit random but I just got Woodford Sathappan McGee $2.6m in family law retainers in 3 years, by dominating google + AI for high-intent divorce and custody searches","spotted 2-3 things {{competitor}} (your competitor) is doing on ChatGPT that {{company}} isn't yet, happy to walk through them, worth 15 min sometime this week?",Growth Lab - Family Law | 3-100E | United States (unversioned),Local SEO + AI search,Law firms / family law,mid,FOMO / Curious,Competitor-gap (PROPOSED NEW PATTERN) + Plain-English,named-competitor gap + case study,dominating google + AI for high-intent divorce and custody searches,bit random but,worth 15 min sometime this week?,210,160,"T2 is the engine, not T1. Naming the prospect's actual competitor and claiming a specific countable gap ('2-3 things') triggers loss aversion that no capability claim can match. The sheet has no label for this yet - suggest adding 'Competitor-gap' alongside Contrarian / Plain-English / Authority. Requires Clay enrichment of a real competitor name; it collapses without it.",616,154,2,2,50%
W38,Acceler8 Labs,"Hi {{firstName}}, it's Niket from Acceler8 - you don't know me but I was head of performance marketing at Meta for 5 years and I helped Wufers generate $6m/yr in additional revenue all in under one year - did that by stripping all the structural complexity out of their ads",saw {{company}}'s ads - I think you could benefit from the same play - let me know if it's worth exploring sometime after the holidays?,Acceler8 - Fashion & Apparel | 3-200E | United States & Canada | V4 (A3 arm),Meta / paid-ads media buying,DTC ecom / fashion & apparel,high,Curious / Unique,Authority + Contrarian,authority (ex-Meta) + case study,stripping all the structural complexity out of their ads,you don't know me but,let me know if it's worth exploring sometime after the holidays?,273,135,"Same shape as W7 (Tiger Tracks / ex-Google) but with a mechanism worth keeping. 'Head of performance marketing at Meta for 5 years' is unimpeachable to a DTC advertiser, and the mechanism is contrarian - simplify rather than add - which reads as insider knowledge. NOTE: the 'after the holidays' CTA was still running mid-July; stale.",685,171,1,3,25%
W39,Chamber Media,"Hi {{firstName}}, it's Claire over at Chamber Media - you don't know me, but we scaled Transparent Labs from $2m to $26m/yr, MrCool from $10m to $300m/yr, and ClickUp to 500m views in 8 months. Same playbook - humor, education, and entertainment mixed into performance creative.",I've been mapping the same approach for {{niche}} and after looking at 3-4 brands to run it with - {{company}} stood out. There's a specific angle I'd walk you through on a call. Any chance you're free next week?,Chamber Media - Health Only DTC | 2-500E | NA | Secondary Subaccount (unversioned),Meta / paid-ads creative (DTC video),DTC ecom / health & wellness,high,Unique / FOMO,Authority stack + Contrarian mechanism,three stacked case studies + mechanism,"humor, education, and entertainment mixed into performance creative","you don't know me, but",Any chance you're free next week?,278,212,"Highest High-intent share of anything analysed (77%; 6 meetings booked off 2,276 sends). Three case studies stacked with escalating magnitude ($2m to $26m, $10m to $300m, 500m views) make the claim impossible to wave away. The real upgrade over W1/W34 is T2: instead of a generic 'nobody in {{niche}} is doing this', it claims deliberate selection - 'after looking at 3-4 brands, you stood out' - which flatters and implies scarcity at once. The direct calendar ask ('free next week?') rather than 'worth exploring' is likely why High intent runs so far ahead of Medium.",2276,175,10,3,77%
W40,Acceler8 Labs,"Hi {{firstName}}, it's Niket from Acceler8 - you don't know me, but I was head of performance marketing at Meta for 5 years, I helped Force Factor (supplements) grow from $10M to $50M/yr in Amazon revenue in under one year - we structured their setup around exactly what Meta's review system flags vs. lets through.",Happy to walk you through how {{company}} could apply the same playbook - and the audit is yours to keep. Let me know if you're available for a 20ish min chat this week?,Acceler8 - Health & Wellness DTC | 3-200E | United States & Canada | V3 vs V5 (V5 arm),Meta / paid ads + Amazon,DTC ecom / supplements & health-wellness,high,Curious / Unique,Authority + Contrarian mechanism + Risk-reversal,authority + sharp mechanism + free value,we structured their setup around exactly what Meta's review system flags vs. lets through,"you don't know me, but",the audit is yours to keep. Let me know if you're available for a 20ish min chat this week?,315,169,"100% High intent. Sharpest mechanism in the set: ad-account review and compliance is a real, expensive, specific pain for supplement advertisers, and 'what Meta flags vs lets through' signals genuine insider access. 'The audit is yours to keep' is risk-reversal in the W12 family - value delivered whether or not they buy - without the cost of a guarantee. Case study is category-matched (Force Factor = supplements). Beat its own V3 arm, which produced zero High intent.",524,175,3,0,100%
W41,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab, bit random but our AI SEO got Woodford Sathappan McGee $2.6m in family law retainers and grew them from 1 to 2 locations in 3 years","spotted 2-3 things {{competitor}} (your competitor) is doing on ChatGPT that {{company}} isn't yet, happy to walk through them, worth 15 min sometime this week?",Growth Lab - Family Law | 3-100E | United States (unversioned),Local SEO + AI search,Law firms / family law,mid,FOMO / Curious,Competitor-gap (PROPOSED NEW PATTERN) + Plain-English,named-competitor gap + business-growth outcome,our AI SEO (mechanism named but not explained),bit random but,worth 15 min sometime this week?,178,160,"Same competitor-gap T2 as W37; T1 swaps mechanism detail for a business outcome (1 to 2 locations), which reads as a bigger transformation than a revenue number alone. Slightly worse ratio than W37 but a higher High-intent share - naming the outcome attracts fewer but more serious replies.",583,194,2,1,67%
W42,Big Leap,"hey {{firstName}}, it's Emma at Big Leap - you don't know me but I helped Spoonful of Comfort add $924k additional revenue in under 12 months by capturing {{niche}} market search demand that supported both their DTC and retail/Amazon pull-through.",could I walk you through where {{company}} could pick up more search demand just like this? (happy to share the strategy),Big Leap - Food & Bev | 3-200E | NA | V5 vs V6 (V5 arm),SEO / organic search,DTC ecom / food & beverage,mid,Helpful / Curious,Plain-English + Trigger,case study + channel-structure specificity,capturing {{niche}} market search demand that supported both their DTC and retail/Amazon pull-through,lowercase 'hey' opener + 'you don't know me but',could I walk you through where {{company}} could pick up more search demand just like this? (happy to share the strategy),247,121,"100% High intent. The mechanism names a structural problem almost no SEO pitch acknowledges - a DTC brand sitting in retail needs search to pull through BOTH channels. That specificity is what separates it from a generic ranking claim. Lowercase 'hey' reads peer-to-peer rather than vendor. '(happy to share the strategy)' gives value with no commitment. Beat its own V6 arm. NOTE: the live version opened with a stale 'After the holiday -' prefix, removed here.",837,209,4,0,100%
W43,Acceler8 Labs,"Hi {{firstName}}, it's Niket from Acceler8 - you don't know me but I was head of performance marketing at Meta for 5 years and I helped Wufers generate $6m/yr in additional revenue all in under one year - did that by stripping all the structural complexity out of their ads",saw {{company}}'s ads - I think you could benefit from the same play - let me know if it's worth exploring?,Acceler8 - Fashion & Apparel | V4  +  Acceler8 - CPG Food & Bev | V4 (A1 arm),Meta / paid-ads media buying,DTC ecom / fashion & apparel + CPG food & bev,high,Curious / Unique,Authority + Contrarian,authority (ex-Meta) + case study + cheap relevance,stripping all the structural complexity out of their ads,you don't know me but,let me know if it's worth exploring?,273,107,"The volume workhorse - 3,709 sends and 16 positive replies, the largest positive count in the set. Identical T1 to W38/W46; only the CTA timing differs. That it holds its ratio at roughly 5x the volume of its siblings is the real signal: a proven scalable control, not a small-sample fluke. 'saw {{company}}'s ads' is the cheapest possible verifiable relevance - no enrichment needed beyond the brand running ads. Shortest, most open CTA of the three arms and the best performer of them.",3709,232,6,10,38%
W44,Chamber Media,"Hi {{firstName}}, it's Claire from Chamber Media - we're the team behind the ClickUp ad that did 500m views on YouTube within 8 months.",Been quietly working through {{niche}} to find 3-4 brands best positioned to run the same playbook - {{company}} is one of them. Lmk if it's worth exploring after the holidays?,Chamber Media - SaaS | 3-500E | United States & Canada | V2 vs V3 / V3 vs V4 (V3 arm),YouTube / paid-ads creative,B2B / SaaS,high,Curious / FOMO,Authority (single recognisable artifact) + selection scarcity,"one famous case study, no mechanism",n/a (no mechanism - the artifact is the proof),none - leads straight with the flex,Lmk if it's worth exploring after the holidays?,135,176,"Shortest T1 of any winner and it works BECAUSE the ClickUp ad is a recognisable artifact in SaaS - no mechanism needed, the work speaks for itself. Same 'no mechanism, proof carries it' family as W6 and W15. T2 supplies scarcity through deliberate selection. Skews Medium (9M vs 4H), so it opens conversations more than it books calls. WARNING: shipped with a broken {{niche}} token on ~1,152 sends - live text read 'working through  to find'.",3072,236,4,9,31%
W45,Growth Lab,"Hi {{firstName}}, Rachel here from Growth Lab - bit random, but I just got LV Criminal Defense 29 signed cases (worth $192k) in just 2 months - by ranking them at the top of search for the queries people run right after an arrest","I could get {{company}} more qualified intakes the same way. but we only work with 3 firms per city, let me know if it's worth a chat?",Growth Lab - Criminal Defense | 3-200E | United States | V2.1,Local SEO,Law firms / criminal defense,mid,FOMO / Curiosity,Plain-English + Trigger,case study + scarcity,ranking them at the top of search for the queries people run right after an arrest,"bit random, but",let me know if it's worth a chat?,229,134,"Same T1 as W36; T2 generalises 'dui intakes' to 'qualified intakes' and softens the CTA. 100% High intent (3 meetings) but a materially worse overall ratio than W36. Read it as a directional lesson: the specific noun widened the funnel and pulled Medium-intent replies, the generic noun narrowed it to buyers only. If conversation volume matters, use W36's wording.",825,275,3,0,100%
W46,Acceler8 Labs,"Hi {{firstName}}, it's Niket from Acceler8 - you don't know me but I was head of performance marketing at Meta for 5 years and I helped Wufers generate $6m/yr in additional revenue all in under one year - did that by stripping all the structural complexity out of their ads",saw {{company}}'s ads - I think you could benefit from the same play - let me know if it's worth exploring sometime this week?,Acceler8 - Fashion & Apparel | 3-200E | United States & Canada | V4 (A2 arm),Meta / paid-ads media buying,DTC ecom / fashion & apparel,high,Curious / Unique,Authority + Contrarian,authority (ex-Meta) + case study,stripping all the structural complexity out of their ads,you don't know me but,let me know if it's worth exploring sometime this week?,273,126,"Third arm of the same T1 (see W43, W38); only the CTA timeframe changes. Worst ratio of the three, which suggests naming a tight window ('sometime this week') slightly suppresses replies versus leaving it open. Keep as the control arm of the CTA test rather than a copy to scale.",1163,291,2,2,50%
W47,Chamber Media,"Hi {{firstName}}, I know this is out of the blue - but we made a YouTube ad for ClickUp that hit 500m views in 8 months - did it by mixing humor, education, and entertainment into one video.",Nobody in the {{niche}} space is doing this rn - {{company}} could benefit a lot from getting in early. I've got a plan put together for you - worth a quick call after the holidays? Claire from Chamber Media,Chamber Media - SaaS | 3-500E | United States & Canada (unversioned),YouTube / paid-ads creative,B2B / SaaS,high,Unique / FOMO,Contrarian mechanism + first-mover scarcity,mechanism + case study + pre-done work,"mixing humor, education, and entertainment into one video",I know this is out of the blue,I've got a plan put together for you - worth a quick call after the holidays?,190,207,"I've got a plan put together for you' is the differentiator - it implies work already done, which raises the social cost of saying no. Compare W48's softer 'there's a specific angle'. Unusual structure: the sign-off sits at the end of T2 rather than in T1. WARNING: broken {{niche}} token in the live text.",1210,302,2,2,50%
W48,Chamber Media,"Hi {{firstName}}, it's Claire from Chamber Media - we're the team behind ClickUp's famous YouTube ad that hit 500m views in 8 months and CreditRepair's YouTube campaign ($12m revenue, 72m views). Same playbook for both - humor, education and entertainment.",majority {{niche}} brands haven't figured out YouTube's performance creative yet and I think {{company}} can take advantage here. There's a specific angle I'd love to walk you through on a call - lmk if it's worth exploring?,Chamber Media - SaaS | 3-500E | United States & Canada | V3 vs V4 / V4 | Apollo (V4 arm),YouTube / paid-ads creative,B2B / SaaS,high,Unique / FOMO,Authority stack + Contrarian mechanism,two stacked case studies + mechanism,"humor, education and entertainment (performance creative)",none - leads with the double flex,There's a specific angle I'd love to walk you through on a call - lmk if it's worth exploring?,256,224,"Two-case authority stack (ClickUp + CreditRepair) with numbers attached to both, then the mechanism. 'There's a specific angle' teases without revealing - softer than W47's 'I've got a plan put together' - and it pulls a healthy 56% High share. Sits between W44 (pure artifact, no mechanism) and W39 (three-logo stack + selection).",3256,362,5,4,56%
W49,Growth Lab,"Hi {{firstName}}, it's Rachel from Growth Lab, bit random but I just got Woodford Sathappan McGee $2.6m in family law retainers in 3 years, by dominating google + AI for high-intent divorce and custody searches","spotted 2-3 things {{competitor}} (your competitor) is doing on ChatGPT that {{company}} isn't yet, happy to walk through them, worth 15 min after the holidays?",Growth Lab - Family Law | 3-100E | United States (unversioned),Local SEO + AI search,Law firms / family law,mid,FOMO / Curious,Competitor-gap (PROPOSED NEW PATTERN) + Plain-English,named-competitor gap + case study,dominating google + AI for high-intent divorce and custody searches,bit random but,worth 15 min after the holidays?,210,160,"IDENTICAL to W37 except the CTA reads 'after the holidays' instead of 'sometime this week' - and it performs roughly 2.5x worse per positive reply. The cleanest natural experiment in the 30-day set: same copy, same audience, only CTA timing differs. Direct evidence that a deferred CTA suppresses reply volume, and a reason to sweep stale holiday CTAs out of live campaigns.",793,396,2,0,100%
