"profile-review__header","profile-review__data-item","profile-review__data-item 2","data--item","data--item 2","sg-rating__number","profile-review__rating-metrics 2","profile-review__rating-metrics 4","profile-review__rating-metrics 6","profile-review__rating-metrics 8","profile-review__quote","profile-review__date","reviewer_position","reviewer_card--name","profile-review__reviewer-verification-badge-title","reviewer_list__details-title","reviewer_list__details-title 2","reviewer_list__details-title 3","reviewer_list__details-title 4","profile-review__summary","profile-review__feedback","profile-review__extra-type","profile-review__text","profile-review__text 2","profile-review__text 3","profile-review__text 4","profile-review__text 5","profile-review__text 6","profile-review__text 7","profile-review__text 8","profile-review__text 9","profile-review__text 10","profile-review__text 11","profile-review__text 12","profile-review__text 14","profile-review__text 15","profile-review__text 16","profile-review__text 17","profile-review__text 18","profile-review__text 19","profile-review__text 20","profile-review__text 21","profile-review__text 22","profile-review__text 23","profile-review__text 24","profile-review__text 25","profile-review__text 26","profile-review__text 27","sg-rating__number 2","profile-review__text 32","profile-review__text 33","profile-review__text 34","profile-review__text 35","profile-review__extra-quote","profile-review__extra-detailed-metrics-quote","profile-review__extra-detailed-metrics-quote 2","profile-review__extra-detailed-metrics-quote 3","profile-review__extra-detailed-metrics-quote 4","profile-review__text 36","profile-review__text 37","profile-review__text 38","profile-review__text 41"
"SEO Services for Employee Recognition Software Company","Search Engine Optimization","","$10,000 to $49,999","Jan. 2020 - Ongoing","5.0","5.0","5.0","5.0","5.0","""We are very impressed with the content written for the striking distance recommendations.""","Feb 18, 2021","Digital Marketing Strategist, Recognition Software Company","Anonymous","Verified","Other industries","Salt Lake City, Utah","1,001-5,000 Employees","Online Review","Big Leap provides ongoing SEO services for an employee recognition software company. The team works on backlinking striking distance and skyscraper content and the project goal is to increase visibility.","Thanks to Big Leap's work, the company culture glossary is increasing and has the best organic web traffic to date, satisfying the client's expectations. The team communicates seamlessly and provides regular project updates. Their level of industry expertise is key to this success.","The client submitted this review online.","Please describe your company and your position there.","I am a Digital Marketing Strategist for an employee recognition software service company.","For what projects/services did your company hire Big Leap, and what were your goals?","We work with Big Leap to acquire backlinks, write striking distance content, net new skyscraper articles, and Big Leap provided us with a site audit that we are working towards completing. Our goals are to increase our organic visibility, with a focus on ""Company Culture"" terms.","How did you select Big Leap and what were the deciding factors?","Backlinking to specific content pieces Site Audit Striking distance recommendations/content written to increase visibility Skyscraper content written targeting specific keywords","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","Manager had previously worked at BL, and liked the company, was in budget, the rest is history :)","Can you share any measurable outcomes of the project or general feedback about the deliverables?","I am on an email thread with a few, but I work closely with one - Ryan, who is a Digital Marketing Manager.","Describe their project management style, including communication tools and timelines.","Company culture glossary has been increasing, we currently have the best organic web traffic we've ever had. I am happy about the deliverables!","What did you find most impressive or unique about this company?","We have Google spreadsheets, and Ryan will send regular updates about projects and metrics around keywords.","","We are very impressed with the content written for the striking distance recommendations, and appreciate them answering questions whenever they arise.","","","","","","","5.0","","","","","","","","","","","","",""
"SEO Services for Cremation Company","Search Engine Optimization","","Less than $10,000","June 2020 - Ongoing","5.0","5.0","5.0","5.0","5.0","""They make recommendations but let you decide what is best for your business.""","Feb 18, 2021","CEO, All California Cremation","Ken McKay","","Other industries","Palm Desert, California","51-200 Employees","Online Review","Big Leap provides SEO services for a cremation company. Services include site auditing, keyword research, and creating content in order to increase the client's market share in their industry.","Their work has immensely enhanced the client's organic search and keyword rankings. Additionally, due to their excellent work, the company's revenue increased dramatically. Professional and detailed, Big Leap takes time to understand the client's goals before implementing strategies.","The client submitted this review online.","Please describe your company and your position there.","I am the CEO of All California cremation. An online cremation company that allows families to arrange cremation services online, from the comfort of there home never entering a Funeral Establishment","For what projects/services did your company hire Big Leap, and what were your goals?","SEO focusing on organic searches that would help build our market share","How did you select Big Leap and what were the deciding factors?","It started with a comprehensive plan. That involved breaking down and reviewing our current system. One of the first steps was a site audit that involved the seed keyword research and recommendations, followed by the metadata, building content and blogs and continued work on the rankings","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","We were originally referred by a company called Boostability and after our initial meetings and calls we decided on Big Leap primarily due to there comprehensive planning and reporting","Can you share any measurable outcomes of the project or general feedback about the deliverables?","At least 5.","Describe their project management style, including communication tools and timelines.","We have been able to directly relate improvements in our organic search operation and keyword rankings to increased case count and market share with the revenue far outweighing the cost of the service","What did you find most impressive or unique about this company?","The Big Leap team are personable and professional. I feel at this point as if I know them personally. They develop a well laid out plan over a certain time period with goals and timelines provided. They are very interactive with the client and take the time to understand the business they are helping. Regular calls and meetings help keep everyone on track and the project moving forward. No content is launched without the client approval. They make recommendations but let you decide what is best for your business.","Are there any areas for improvement or something they could have done differently?","There knowledge as a team and ability to build a plan with minimal effort from the client that is easy to understand and follow","","We are completely satisfied with every aspect of the Big Leap team","","Taylor -Client Strategist","","","5.0","","","","","","","","","","","Cassara -Digital Marketing Manager","Sean -Digital Marketing Specialist",""
"SEO Consulting & Content Creation for HR Software Company","Content Marketing","Search Engine Optimization","$10,000 to $49,999","Jan. 2014 - Ongoing","5.0","5.0","5.0","5.0","5.0","""They've done a great job communicating and working together with us.""","Feb 18, 2021","Product Marketing Manager, HR Software Company","Eric Serdar","Verified","Other industries","Lindon, Utah","501-1,000 Employees","Online Review","An HR software company engaged Big Leap to perform SEO consulting services and content creation. Their main goal is to enhance the client's online presence, increase site traffic, and gain massive leads.","Big Leap's involvement has led to an increase in traffic, leads, and revenue. The client appreciates that they provide detailed project reports. Their responsiveness and honesty are critical to the engagement's continued success.","The client submitted this review online.","Please describe your company and your position there.","We are an HR software company for small to medium sized business and I'm a product marketing manager","For what projects/services did your company hire Big Leap?","We hired Big Leap to help us with content creation (infographics, ebooks, research studies, blog articles) for our site, technical SEO, and CRO consultation.","What were your goals for this project?","Big Leap had a proven track record of success with other clients and showed us a detailed plan of what work they could do with us and the price point was right.","","","How did you select Big Leap?","","Describe the scope of their work in detail.","We hired Big Leap to help us increase our online presence, drive traffic to our site, make sure we were had our technical SEO covered, and increase leads.","What was the team composition?","This is an ongoing relationship/partnership and continues to evolve. Some months are more focused on content, others are more focused on technical help, and some are focused on CRO.","Can you share any outcomes from the project that demonstrate progress or success?","We worked with a director and an account manager on a weekly basis to go over the progress of the projects. On the backend they had several fulfillment people (writers, SEO analysts, designers) that would help produce for us.","How effective was the workflow between your team and theirs?","We've been able to 10x the number of users to our blog. We've seen a tremendous amount of growth for our product pages which has to lead to record months for visitors, leads, and revenue. They've been a great partner in helping us increase our traffic and leads coming from the organic channel.","What did you find most impressive about this company?","They've done a great job communicating and working together with us. We've switched tools a few times since starting work with them and they've been very adaptable between email, Asana, and Wrike.","Are there any areas for improvement?","Big Leap does a great of reporting back on the success (and sometimes failures) of projects that we're working on together. Their ability to communicate with us is impressive.","","","","","5.0","","","We understand that we won't always be on the same page with every project, but we've both worked hard to have open, frequent conversations together. We're not afraid to tell them when we need more from them, and they're not afraid to tell us when we're being a roadblock to having more success.","I can't think of anything currently.","","","","","","","","",""
"Search Optimization for Software Startup","Content Marketing","Pay Per Click","$10,000 to $49,999","Dec. 2018 - Mar. 2021","5.0","5.0","5.0","5.0","5.0","""The quality of the content was what impressed us the most. ""","Feb 18, 2021","CEO, Jump","Chad Ingram","Verified","Other industries","Lehi, Utah","51-200 Employees","Online Review","Big Leap was hired by a software startup to help them manage and grow their marketing efforts.  The team is working on creating strategic content for the client's audience and prospective users.","Thanks to Big Leap's efforts, the client was able to receive a total of 10% increase in their organic traffic on a month-over-month period. The team is great at communicating and integrating their workflow with the internal team.","The client submitted this review online.","Please describe your company and your position there.","I am the founder of Jump","For what projects/services did your company hire Big Leap?","As a startup, we were having a difficult time managing all of our growing marketing needs. Our ad budgets were growing and we could not keep up on content and SEO work. So we engaged Big Leap to help us write strategic content for our users and prospective users.","What were your goals for this project?","Their proposal was the most appealing. Our marketing endorsed using Big Leap.","","","How did you select Big Leap?","","Describe the scope of their work in detail.","Our goals were to generate more consistent traffic from other web sources to ensure we were not entirely dependent on paid ads. Big leap helped us generate more traffic consistently. After some time, we were finally getting organic inbound leads.","What was the team composition?","Their work was to write 1 weekly article on specific keywords where we were falling behind our competition. They were also helpful in identifying opportunities in search traffic where our competition was also not ranking. The reporting from Big Leap was also very helpful and consistent to their strategic objectives.","Can you share any outcomes from the project that demonstrate progress or success?","I know the owners myself fairly well. They are a great team made of a great culture. The account manager and the content writers stayed very integrated with our team so their was no ambiguity regarding the work at Big Leap. This was a big deal for us.","How effective was the workflow between your team and theirs?","We received about 10% month over month organic traffic increases.","What did you find most impressive about this company?","The teams were easily integrated. The Big Leap team was great at communicating with our team. This is unique for SEO companies who kind of forget about their clients and just do their work. Big Leap is great at communication. We saw them as an extension of our own team.","Are there any areas for improvement?","The quality of the content was what impressed us the most. They did not do the traditional spray-and-pray content strategy that most SEO firms do... they work on strategic content for the most results.","","Not that I can think of now.","","","5.0","","","","","""Great team. Great company. Great work.""","""We got the results we wanted.""","""Easy""","""Although they aren't cheap, you get what you pay for.""","""I refer them to anyone I know.","","","",""
"Branded SEO for SaaS Company","Search Engine Optimization","","$50,000 to $199,999","June - Dec. 2017","5.0","5.0","5.0","5.0","5.0","""They're exceptionally pragmatic and they focus their energies on results instead of optics.""","Feb 16, 2021","VP of Marketing & Communications, SaaS company","Brad Plothow","Verified","Other industries","Lehi, Utah","51-200 Employees","Online Review","Big Leap provided branded SEO services for a SaaS company. The goal is to eliminate the negatively branded search terms that were hurting the client's business.","Big Leap was able to successfully help in adding positive branded search results for the SaaS company. The client is pleased with their work given the amount of difficulty and complexity it entrails. The team used a proprietary project management system to help track deliverables and progress.","The client submitted this review online.","Please describe your company and your position there.","At the time, I worked for a software-as-a-service company that helped small businesses manage customer interactions. I was vice president of marketing & communications.","For what projects/services did your company hire Big Leap, and what were your goals?","We needed to improve our branded SEO on a key search term. We had a negative branded SEO footprint on this term, and it was outdated but hurting our business. Many of the branded search results were sites with extremely high domain authority.","How did you select Big Leap and what were the deciding factors?","Goal was to improve branded SEO footprint to 9 out of 10 positive results (started with 0 out of 10 positive). Project was broken down into several content creation steps. We created new accounts, populated them with new and repurposed content, optimized existing owned properties, and launched a branded microsite.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","We chose Big Leap due to past positive interactions, relationships with key people in the company, high competency in branded SEO, and assignment of a great team.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","4-5, ranging from SEO and content specialists to vice president.","Describe their project management style, including communication tools and timelines.","Big Leap successfully helped us achieve 9 out of 10 positive branded search results on P.1 and 18 out of 20 positive within 7 months. We were exceptionally pleased, given the complexity and difficulty of the task.","What did you find most impressive or unique about this company?","Big Leap used a proprietary project management system to help us keep track of deliverables and progress. We reviewed in weekly meetings. We each had action items each week and never missed deadlines.","Are there any areas for improvement or something they could have done differently?","They're exceptionally pragmatic and they focus their energies on results instead of optics.","","Writing skill was hit or miss, which I think makes sense given the SEO focus.","","","","","5.0","","","","","","","","","","","","",""
"SEO & Paid Search Marketing for SaaS Organization","Advertising","Search Engine Optimization","$10,000 to $49,999","June 2015 - June 2017","5.0","5.0","5.0","5.0","5.0","""They were flexible in balancing their approach based on corporate needs.""","Feb 15, 2021","Senior Manager, SaaS Organization","Logan Mallory","Verified","Other industries","Boston, Massachusetts","501-1,000 Employees","Online Review","A SaaS organization hired Big Leap to help improve their SEO efforts and support their paid search marketing. The goal was to drive traffic to their site after a rebranding impacted their Google presence.","Thanks to Big Leap's efforts, the client's ranking in Google dramatically increased. Meetings were frequently and consistently scheduled. They used Google Suite to provide better communication and collaboration. Responsive and available, the team was always there to help the client.","The client submitted this review online.","Please describe your company and your position there.","I was the Digital Marketing Manager for a $100M+ SaaS organization. We had more than 800 employees and I was responsible for managing our web properties. I reported to the VP of Marketing, managed two teams with seven total employees and managed the responsibilities of a 5 person web dev team.","For what projects/services did your company hire Big Leap?","We hired Big Leap to help us focus on SEO improvements and to manage our paid search marketing. Eventually the paid search was managed by a peer who was hired to focus on that specifically, but the organic efforts stayed with me for the duration of my time there.","What were your goals for this project?","We were working with a different agency in another market previously, but spent time with Big Leap per their local reputation. Though we met with multiple companies, the audit provided by Big Leap gave us a clear understanding of what we would work on with them. This decision was made between myself, the VP of Marketing and the CMO.","","","How did you select Big Leap?","","Describe the scope of their work in detail.","We wanted to drive additional organic traffic. A rebrand had impacted our presence on Google and we wanted to surpass where we were. This meant content, on page improvements and general site optimization per SEO best practices.","What was the team composition?","Big Leap was a key partner on many fronts. They were a crucial partner in the strategies we pursued, collaborated with our dev team on planning and understanding execution. They delivered key content pieces and provided consistent reporting.","Can you share any outcomes from the project that demonstrate progress or success?","I worked with two different representatives from Big Leap during our time together. Initially it was a manager level employee, but later a director level took over our account. I was familiar with a number of specialists on the team from various projects. The CEO and a VP consistently joined our discussions and regardless of whether or not they were in the meeting, I ALWAYS knew they'd take my call and respond quickly.","How effective was the workflow between your team and theirs?","Not able to share specifics, but we saw a dramatic increase in our ranking with Google, our content library grew and we accomplished many of our goals.","What did you find most impressive about this company?","Scheduled meetings were frequent and consistent. We communicated and collaborated with the Google suite. Project management efforts were based on priorities, resources and impact.","Are there any areas for improvement?","As I alluded to earlier, I always knew that Big Leap would be responsive and available when we needed something. They were flexible in balancing their approach based on corporate needs. And significantly - they were great to work with. Kind, fun, energetic. They fit right in with our culture which was meaningful.","","No major areas for improvement.","","","5.0","","","","","","","","","","","","",""
"Digital Marketing  & Content Strategy for Financial Company","Other Digital Marketing","","$50,000 to $199,999","Jan. 2019 - Jan. 2020","5.0","5.0","5.0","5.0","5.0","""I felt like a very valued client.""","Feb 12, 2021","Chief Revenue Officer, Divvy","Sterling Snow","Verified","Financial services","Salt Lake City, Utah","201-500 Employees","Online Review","Big Leap helped a financial services company boost digital marketing efforts. They developed content strategy, built our SEO framework, and launched paid campaigns.","Big Leap created a positive experience for the client and brought satisfactory work. They had good communication skills and their workflow was effective. The team displayed an impressive level of caring.","The client submitted this review online.","Please describe your company and your position there.","I run Marketing, Sales, and Customer Success at Divvy.","For what projects/services did your company hire Big Leap?","We were very young looking to boost all our digital marketing efforts. Content, SEO, Paid ads, etc.","What were your goals for this project?","They owned the whole project from start to finish.","","","How did you select Big Leap?","","Describe the scope of their work in detail.","Provide clear lift/ROI across Marketing KPIs","What was the team composition?","Developed content strategy, build out our SEO framework, launched paid campaigns and started our funnel modeling basis.","Can you share any outcomes from the project that demonstrate progress or success?","Account manager and experts.","How effective was the workflow between your team and theirs?","I love working with Big Leap, I've sent people their way and will continue to do so. Brian and his team communicate well and know their craft. I love when we get to work together.","What did you find most impressive about this company?","Effective, good communication and cadence.","Are there any areas for improvement?","The level of caring, I felt like a very valued client.","","Nothing comes to mind!","","","5.0","","","","","""Love em!""","""Loved our experience""","""Easy""","""Worth the cost""","""I have and will continue to","","","",""
"SEO Services for Dental Practice Marketing Company","Search Engine Optimization","","$10,000 to $49,999","June 2014 - June 2016","5.0","5.0","5.0","5.0","5.0","""They have the most knowledgeable people when it comes to SEO and digital marketing in general.""","Feb 12, 2021","CTO, 123 Postcards","Mark Delorey","Verified","Advertising & marketing","Heber City, Utah","51-200 Employees","Online Review","Big Leap helped a dentistry marketing company gain exposure for their product. They cleaned up the SEO for the company's newly acquired domain, helped plan a content strategy, and executed as expected.","Within a short timeframe, the company saw their top 10 keywords grow in rankings, which generated more traffic and leads. Big Leap delivered monthly reports to keep the internal team updated on their work, and they effectively communicated their impact on key campaign metrics.","The client submitted this review online.","Please describe your company and your position there.","123 Postcards provides marketing for dental practices looking to grow. I lead technology and software development as CTO.","For what projects/services did your company hire Big Leap, and what were your goals?","We were looking to grow and get more customers because we had a solid product that delivered results. We were ready to scale, but we needed more exposure and more customers.","How did you select Big Leap and what were the deciding factors?","We had some SEO cleanup that needed to be done because we purchased an existing domain as a platform for our growth. Big Leap helped plan and execute a content strategy, and we saw our rankings and traffic to our website grow. More leads, more new customers, more growth.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","Big Leap proposed a strategy that convinced us they would deliver and be a partner in our growth. Other companies were more interested in closing a deal than really giving us a strategy we felt confident in and could measure the success. That's where Big Leap stands out. Compelling strategies based on expert knowledge that delivered results.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","We worked with an account manager, SEO specialists, and even the CEO of the company.","Describe their project management style, including communication tools and timelines.","We saw our top 10 rankings keywords grow within a short period of time, but more importantly, we saw more traffic and more leads. They definitely met our expectations.","What did you find most impressive or unique about this company?","I communicated with Big Leap team members via phone, email, and Slack. They delivered monthly reports to show us the work they were doing and how it was affecting our key metrics like rankings, traffic, and leads.","Are there any areas for improvement or something they could have done differently?","The expertise. Period. They have the most knowledgeable people when it comes to SEO and digital marketing in general. You can tell it comes from the top down. They are masters of their craft, no question.","","I wouldn't say they were the cheapest bid, but they were the best value. I was happy for the service, but I wouldn't say Big Leap is an economy budget solution.","","","","","5.0","","","","","""Class acts, top to bottom.""","""Expert strategy and great execution""","""Easy.""","""Great value, even if they aren't the cheapest option.""","""I refer all my friends to Big Leap.","","","",""
"SEO Services for E-Commerce MarTech Company","Search Engine Optimization","","$10,000 to $49,999","May 2019 - Nov. 2020","5.0","5.0","5.0","5.0","5.0","""Their leadership team was more involved than other companies that I've seen.""","Feb 10, 2021","VP of Marketing, E-Commerce MarTech Company","Anonymous","Verified","Other industries","Salt Lake City, Utah","51-200 Employees","Online Review","An e-commerce martech company hired Big Leap for their SEO services. The project entailed consultation and execution of keyword and content strategies to drive organic traffic into the company's website.","Big Leap provided regular monthly reports on the company's organic search performance and ranked keywords, which contributed to the growth in their organic traffic. The team was approachable and personable during the engagement. The client appreciates their availability whenever issues arose.","The client submitted this review online.","Please describe your company and your position there.","I was the Vice President of Marketing at Drip, a marketing automation company focused in the e-commerce space.","For what projects/services did your company hire Big Leap, and what were your goals?","We needed help with our organic search strategy, as we were looking to focus on e-commerce specific keywords and content strategies. We needed to grow the number of keywords that we ranked for, as well as organic traffic to the site.","How did you select Big Leap and what were the deciding factors?","They did an in-depth of audit of our current organic search strategies and provided some insights into how we could improve.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","We interviewed a few agencies to see who would be the best fit. We chose Big Leap because they have a great reputation here in Utah, and I've worked with them in the past on other projects.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","We had a few folks we worked with on their team, an account manager, SEO specialist, the head of sales, and their CEO.","Describe their project management style, including communication tools and timelines.","I don't recall exact numbers off the top of my head, but they ended up helping us grow our organic traffic month-over-month.","What did you find most impressive or unique about this company?","They provided solid reporting on a monthly basis that provided an overview of how our organic search performance was trending, keywords that we ranked for, as well as a summary of work that had been done with us.","Are there any areas for improvement or something they could have done differently?","Their leadership team was more involved than other companies that I've seen. If there was ever an issue, it was nice to know that I could reach out to their leadership team and have a quick conversation with them. Their leadership team is very approachable and personable.","","Not really.","","","","","5.0","","","","","""I've found it difficult to find SEO agencies that are reputable and actually do what they say.  Big Leap has been one I can trust and count on.""","""Never had any concerns with their quality of work.""","""In our experience we never had any issues hitting deadlines, or scheduling time to connect.  We had a weekly call scheduled with them.""","""For the amount of work they did, their costs seem reasonable.""","""I've referred them to friends of mine and would have no problem doing so again.","","","",""
"SEO Services for Computer Software Company","Search Engine Optimization","","$50,000 to $199,999","May 2012 - May 2016","5.0","5.0","5.0","5.0","5.0","""They were willing to meet and collaborate more often than I had time for, so that was good.""","Feb 8, 2021","Former Online Mktg Manager, Domo","AJ Wilcox","Verified","Other industries","American Fork, Utah","11-50 Employees","Online Review","Big Leap performed consulting services to help a computer software firm to get through their Google penalty. After that, they provided on- and off-page SEO efforts to increase search engine rankings.","The team increased the company's search engine rankings. The client's organic traffic also soared immensely. Big Leap's responsiveness and creativity allowed continuous growth and always seized opportunities to do more. They were highly recommended by the client.","The client submitted this review online.","Please describe your company and your position there.","The company is Domo.com before the IPO. I managed all digital marketing channels.","For what projects/services did your company hire Big Leap, and what were your goals?","We had some unique challenges with our search engine rankings. I had heard great things about Big Leap and brought them in to consult. Bryan Phelps, the CEO, personally came in and provided so much value that I felt like we'd be stupid not to hire Big Leap.","How did you select Big Leap and what were the deciding factors?","Initially, we hired them to consult on how to get us through a Google penalty, but after that, they approached an evergreen strategy for us that included both on-page and off-page SEO. They reported back the rankings changes for the strategic keywords we were going after, as well as reports of the types of links they built.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","I had heard great things - their reputation preceded them. I evaluated several vendors and no one talked in more detail and with more authority than Big Leap.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","I worked with the owner, as well as an account manager.","Describe their project management style, including communication tools and timelines.","Big Leap definitely did not disappoint! Each month we saw incredible gains in search engine rankings, and it never slowed down. They more than tripled our already-sizable organic traffic while working together. We never had to feel like we weren't getting the value we paid for. They always overdelivered.","What did you find most impressive or unique about this company?","They were willing to meet and collaborate more often than I had time for, so that was good. They sent regular reports and were very communicative. I was always the bottleneck.","Are there any areas for improvement or something they could have done differently?","They just continued to innovate and didn't slow down pace. With most agencies, at some point it feels like they kinda take their foot off the gas and start to coast. Big Leap continued to push forward and find the next big opportunity.","","No, they were incredible, and I continue to recommend them anytime someone asks about SEO.","","","","","5.0","","","","","""The top SEO company from my experience. I haven't found anyone who holds a candle.""","""Always top notch, and never had any concern about poor quality work.""","""They were super easy to schedule with and were always happy to make time for me.""","""Incredibly fairly priced. They're not cheap, but they're not expensive for what you get.""","""I refer them regularly!","","","",""
"SEO for for 3D Art Company","Search Engine Optimization","","$50,000 to $199,999","Mar. 2020 - Ongoing","5.0","5.0","5.0","5.0","5.0","""Their level of detail and transparency is hugely important.""","Dec 7, 2020","VP of E-Commerce, 3D Art Company","Anonymous","Verified","Other industries","Salt Lake City, Utah","11-50 Employees","Phone Interview","Big Leap assisted a creative art agency with SEO efforts, handling both technical SEO improvements and the implementation of new content. They spearheaded thorough keyword research and a site audit to start.","The team's work has been successful so far, contributing to a 40% increase in organic reach. Critical keywords have risen by about 10 places on search results pages. Their 85-point site audit process made goals and areas for improvement clear from the beginning of the collaboration.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I’m the VP of e-commerce at a 3D art and avatar creation company.","What challenge were you trying to address with Big Leap?","We’re looking to grow our organic search rankings for specific keywords and improve our site performance for customers.","What was the scope of their involvement?","","","","What is the team composition?","They also did a site analysis, which includes both necessary technical updates and opportunities for improvement on the UX design end. We’ve also asked for their input on how to write more compelling content for customers. Their team is able to provide both strategy and technical implementation.","How did you come to work with Big Leap?","They’re our traditional SEO firm, providing content recommendations based on keyword analysis of the competitive landscape. Through keyword research, they help define where we sit in the market to today before determining a pathway to get us where we want to be in the future.","How much have you invested with them?","","What is the status of this engagement?","","What evidence can you share that demonstrates the impact of the engagement?","","How did Big Leap perform from a project management standpoint?","","What did you find most impressive about them?","","Are there any areas they could improve?","","Do you have any advice for potential customers?","They have a very detailed, metrics-driven approach to SEO, which we really appreciate. Their level of detail and transparency is hugely important.","5.0","I collaborated with a project manager and one specialist on a weekly basis. When we have more content needs, we are then able to utilize the resources we need to meet our goals.","I worked with them in a previous role and was incredibly impressed by their level of organization and the results they provided. Their approach to making SEO accessible to us while making sure their work aligned with our goals stood out.","They’re excellent, keeping up with a weekly communication cadence. They likely follow up with me more than I’m following up with them. It’s clear that they want to move forward as quickly as possible. We’re incredibly impressed with them.","They have a roadmap with organizational detail that I’ve never seen from another firm. Their audit gives 85 points, composed of metadata, the site map, and more. Then, they help us rank each point according to its level of importance and potential for growth. They also tell us how difficult it will be to improve each point.","""They’re excellent.""","""They’re super organized.""","""They’re cost-effective for the value they bring.""","","","We’ve spent more than $50,000 to this point.","We’ve increased our organic rank for target keywords by about 10 places, which is really strong for us. There’s still work to be done, but we’re already seeing dramatic improvements. Overall our organic reach is up by 40%. While there are many contributing factors there, we think their work is beginning to make a meaningful difference at this point.","I can’t think of anything. We rehired them because I liked working with them so much.","We’ve been working with them since March 2020."
"SEO & Content Marketing for Human Resources Firm","Search Engine Optimization","","$10,000 to $49,999","Apr. 2020 - Ongoing","5.0","5.0","5.0","5.0","5.0","""They provide the best value for their cost.""","Nov 3, 2020","Demand Generation Mktg Manager, O.C. Tanner","Talmage Egan","Verified","Other industries","Salt Lake City, Utah","1,001-5,000 Employees","Online Review","Big Leap spearheads the SEO efforts of a human resources firm including link building and web optimization. The team also develops unique content for the client's website.","Since Big Leap took over the company's project, the client has been consistently impressed with their outputs. So far, they have increased the company's organic growth by 15%. They are responsive, skilled, and detailed, which secures the ongoing collaboration.","The client submitted this review online.","Please describe your company and your position there.","O.C. Tanner provides employee recognition and employee engagement software. I lead Demand Generation which includes marketing automation, advertising, website development, and analytics.","For what projects/services did your company hire Big Leap, and what were your goals?","We wanted to grow our organic traffic. We hired big leap to promote our web content through link building and to optimize our website performance. We've already seen a 15% boost in organic traffic since engaging with Big Leap.","How did you select Big Leap and what were the deciding factors?","Website Audit / Technical SEO: Big Leap provided a comprehensive website audit with detailed explanations and action items. We're currently working to fix the issues.","Link Building: Big Leap promotes our existing site content by using it as a source on credible third-party websites.","Content: Big Leap creates original content for our website that is highly optimized for our target audience.","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","They are a trusted local name. A few of the major logos in the area use them. We used a competitor for a while but felt like they lacked the technical chops we needed. We switched to Big Leap and found the technical expertise we needed.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","","Describe their project management style, including communication tools and timelines.","","What did you find most impressive or unique about this company?","","Are there any areas for improvement or something they could have done differently?","","","","","","","","5.0","I primarily interact with the VP of Sales, Digital Marketing Manager / Account Manager, and a Director of Digital Marketing.","Their deliverables are well thought out and comprehensive. Their work has contributed to a 15% organic growth this year.","","","","","","","","Big Leap provides consistent monthly reports along with specific project documents when needed.","Any hang-ups we've had have been on the client-side.","","They provide the best value for their cost. I feel like I get the service and expertise of a Silicon Valley or NYC firm."
